,Date,User,Tweet
150,2023-02-26 18:55:08+00:00,AR7dotcom,"Terakhir kali MU menang 2-0 lawan NU di final, berakhir treble winners. Tsunami trofi??"
151,2023-02-26 18:54:02+00:00,UGM_FESS,ugm_fess apakah tsunami trofi is ril?
152,2023-02-26 18:53:36+00:00,panjimoro,Menuju tsunami trophy.
153,2023-02-26 18:53:26+00:00,DandyPurwanto_,"Gelombang tsunami trofi yang pertama @ManUtd 

#GGMU"
154,2023-02-26 18:51:20+00:00,FlirtyVoidD,Tanda tanda tsunami sudah mulai keliatan guys
155,2023-02-26 18:50:29+00:00,ardioseven,CARABAO adalah awal king EMYU menuju tsunami trophy2 berikutnya...yakinlah 💪
156,2023-02-26 18:50:09+00:00,umsklikuk,dikabarkan gempa-gempa yang terjadi di sekitar bandung belakangan ini menyebabkan dampak berupa tsunami trofi bagi Manchester United
157,2023-02-26 18:49:33+00:00,anaknackal666,ETH di musim pertama lgsg kasih trofi buat MU. Sepertinya musim depan akan ada tsunami trofi 😭
158,2023-02-26 18:45:20+00:00,helmilicious,jadi inimah tsunami trophy teh wkwkwkwk
159,2023-02-26 18:43:41+00:00,sandrianferi,Siap-siap tsunami trofi @ManUtd
160,2023-02-26 18:43:33+00:00,fauziffo,Keran Tsunami trophy telah dibuka
161,2023-02-26 18:42:39+00:00,Cimmengmeng,🚨PERINGATAN: Malam ini menjadi pertanda awal gelombang pertama tsunami trophy
162,2023-02-26 18:42:25+00:00,setiawanrudy27,"Erik ten Hag di mari, bersama Erik ten Hag tsunami tropi 🤣"
163,2023-02-26 18:42:13+00:00,gilabola_idn,"MU buka puasa

Siap tsunami trophy"
164,2023-02-26 18:42:10+00:00,afiframan,Otw tsunami tropi skala besar
165,2023-02-26 18:42:06+00:00,senjagenic,Breaking news : telah terjadi gempa dengan 1 SR tidak berpotensi tsunami namun akan ada gempa susulan yang berpotensi menambah trophy 😂😂😂😂😂
166,2023-02-26 18:41:26+00:00,mochwahyus,Siap-siap MU tsunami trophy.
167,2023-02-26 18:40:58+00:00,Diga_Doang,Si botal memulai tsunami trophy nya 🔥
168,2023-02-26 18:40:53+00:00,pusakatamu,buka puasaaa juara euyyy tsunami trophy🏆🏆🏆🏆 @ManUtd
169,2023-02-26 18:40:42+00:00,kokohtatan,"Apakah ini awal dari Tsunami Trophy untuk Man Utd, semogaaa"
170,2023-02-26 18:40:34+00:00,mfatahaaaw,Apakah alarm tsunami sudah mulai berbunyi? 🔴🔴
171,2023-02-26 18:40:23+00:00,GultomAditya,"Congratss bradsss carabao cup @ManUtd sudah mulai ada gempa nih, apakah akan terjadi tsunami?"
172,2023-02-26 18:39:59+00:00,reds_OD,"Mengakhiri puasa gelar, tsunami trofi is real gaes!"
173,2023-02-26 18:39:05+00:00,Septiawan7,awali seninmu dengan prakiraan bmkg akan terjadi tsunami gelar
174,2023-02-26 18:38:58+00:00,romasandwichi,GGMU 🔴🔴🔴 piala ciki dulu abis ini tsunami trofi
175,2023-02-26 18:38:37+00:00,rifkiilhamy,Assalamualaikum tsunami🙏🏻 @ManUtd
176,2023-02-26 18:38:30+00:00,NanuWisnu,"Alhamdulillah buka puasa juga
Trofi pertama ETH bersama Manchester United

Siap-siap Tsunami 😎"
177,2023-02-26 18:38:21+00:00,langlangbhuana_,"Akhirnya, setelah 6 tahun. Klo manusia udah masuk sekolah nih. 

Piala ciki juga gpp, buat pemanasan tsunami trofi."
178,2023-02-26 18:38:10+00:00,tweetiqbaliq,"MU emg nyenengin, soon tsunami thropy ini 👹"
179,2023-02-26 18:37:54+00:00,jumpah1968,"Tsunami trophy fix ini wkwkwk, yaallah udah 6 taun ya ga kerasa:("
180,2023-02-26 18:37:29+00:00,ruciricu,"Assalamualaikum Tsunami Trophy 
#GloryGloryManUnited"
181,2023-02-26 18:37:20+00:00,agaktinggi,"Hari Kamis mengalahkan Barca 
Hari Senin angkat piala
Tsunami trofi didepan mata 
Setengah penduduk bumi bahagia❤️

#GGMU"
182,2023-02-26 18:37:20+00:00,alestrisan32,siap siap tsunami trofi
183,2023-02-26 18:37:05+00:00,ikicimpring,"gelombang pertama,dan gelombang gelombang berikutnya,siap siap tim ini akan tsunami trophy 🥹"
184,2023-02-26 18:37:02+00:00,niamburadul,"sueneng ndelok squad full passion, what a team! persetan tsunami gatel yg penting asik gpp los. #MUFC"
185,2023-02-26 18:36:57+00:00,ilhamwiratamadh,tsunami tropi gelombang pertama done 🙏🏼
186,2023-02-26 18:36:51+00:00,AnandaParwita,gelombang pertama awal dari tsunami? @tudesuryawann
187,2023-02-26 18:36:24+00:00,Fajrulpostman,tsunami thropy dimulai dari piala ciki
188,2023-02-26 18:36:13+00:00,ekaciken,"Pantes daritadi sore badai petir menyambar, tsunami trophy dimulai 🌪️🌊🏆"
189,2023-02-26 18:35:54+00:00,Mhmmdrivaldo_,"Dari 2007 gw ngefans bgt sama #ManchesterUnited hanya gara” suka mainnya wayne rooney, 6 tahun puasa gelar gw sebagai fans selalu setia, kalah ga ngilang  menang tetap koar koar.
Tapi sekarang kita buka puasa guys meskipun piala ciki, dan berpeluang tsunami tropy GGMU👹"
190,2023-02-26 18:35:39+00:00,aQuariots_,"Guncangan tsunami trophy semakin berasaaa❤️
#ManUnited"
191,2023-02-26 18:35:25+00:00,Ilyrasemm,"Piala Ciki awal dari semua Piala Bergengsi akan datang, TSUNAMI TROPHY IS REAL🔥🔥🔥🔥🔥🔥🔥 @ManUtd_ID @PorosHalangID @Mangujang_fc"
192,2023-02-26 18:35:22+00:00,mhmddevo,getaran tsunami trophy mulai terasa...
193,2023-02-26 18:35:15+00:00,AfifXavi,"MU Tsunami Trofi, udah mulai keliatan, 
Tapi gw masih pengen ada Arsenal juara, kalo bisa Epl!!!"
194,2023-02-26 18:35:13+00:00,investonk,Piala kaleng adalah awal dari piala-piala yang lain. Tsunami trofi akan datang 🌊🌊🌊
195,2023-02-26 18:35:12+00:00,ssadamaulanaa,Peringatan dini Tsunami tropi
196,2023-02-26 18:35:06+00:00,littleisk_,"Tetap tenang baru gelombang kecil.

Yakin tsunami tropi"
197,2023-02-26 18:35:04+00:00,thegreatfadli,"YEAHHHHHH!!! kl udh ada gempa kecil, pertanda emyu mau tsunami trophy tuh🍻🍻"
